"Net generation for electric power"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fttb&geo=00fvvvvvvvvvo&sec=008&linechart=ELEC.GEN.COW-CT-98.A&columnchart=ELEC.GEN.COW-CT-98.A&map=ELEC.GEN.COW-CT-98.A&freq=A&start=2010&end=2016&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Fri Aug 18 2017 17:48:24 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014","2015","2016"
"Illinois : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IL-98.A",14,14,31,52,50,49,58
"Indiana",,"ELEC.GEN..A",,,,,,,
"Indiana : all fuels (utility-scale)",,"ELEC.GEN.ALL-IN-98.A",,,,,,,
"Indiana : coal","thousand megawatthours","ELEC.GEN.COW-IN-98.A",112133,103974,92279,92538,97468,78193,72538
"Indiana : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-IN-98.A",138,157,108,131,149,141,100
"Indiana : petroleum coke","thousand megawatthours","ELEC.GEN.PC-IN-98.A",0,1161,831,1433,1199,1179,497
"Indiana : natural gas","thousand megawatthours","ELEC.GEN.NG-IN-98.A",5910,9533,13998,8533,9006,15553,19389
"Indiana : other gases","thousand megawatthours","ELEC.GEN.OOG-IN-98.A",0,0,"--",4,20,20,"NM"
"Indiana : nuclear","thousand megawatthours","ELEC.GEN.NUC-IN-98.A","--","--","--","--","--","--","--"
"Indiana : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-IN-98.A",454,409,434,387,371,381,415
"Indiana : other renewables",,"ELEC.GEN.AOR-IN-98.A",,,,,,,
"Indiana : wind","thousand megawatthours","ELEC.GEN.WND-IN-98.A",2932,3284,3209,3480,3495,4514,4902
"Indiana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IN-98.A","--","--","NM",31,102,156,271
"Indiana : geothermal","thousand megawatthours","ELEC.GEN.GEO-IN-98.A","--","--","--","--","--","--","--"
"Indiana : biomass","thousand megawatthours","ELEC.GEN.BIO-IN-98.A",274,295,286,315,304,355,363
"Indiana : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-IN-98.A","--","--","--","--","--","--","--"
"Indiana : other","thousand megawatthours","ELEC.GEN.OTH-IN-98.A","--",76,57,96,29,0,0
"Indiana : all solar",,"ELEC.GEN.TSN-IN-98.A",,,,,,,
"Indiana : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-IN-98.A","--","--","--","--","--","--","--"
"Indiana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IN-98.A","--","--","NM",31,102,156,271
"Michigan",,"ELEC.GEN..A",,,,,,,
"Michigan : all fuels (utility-scale)",,"ELEC.GEN.ALL-MI-98.A",,,,,,,
"Michigan : coal","thousand megawatthours","ELEC.GEN.COW-MI-98.A",65137,58501,52814,55951,52646,52689,40440
"Michigan : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MI-98.A",176,174,134,126,136,104,117
"Michigan : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MI-98.A",90,67,73,268,748,571,556
"Michigan : natural gas","thousand megawatthours","ELEC.GEN.NG-MI-98.A",12012,12554,21097,11604,11825,19216,28617
