# File: FAO_ag_items_PRODSTAT.csv
# Title: FAO_ag_items_PRODSTAT
# Unit: Unitless
# Description: Maps FAO PRODSTAT crops to GCAM commodities and crop names in all other databases
# Sources: FAO and other databases
# Column types: ciccccicccccccccccc
# ----------
item,item.code,GTAP_crop,GCAM_commodity,GCAM_subsector,CROSIT_crop,CROSIT_cropID,IFA2002_crop,IFA_commodity,MIRCA_crop_name,MIRCA_crop,MIRCA_Crop24and26,MH_crop,MH2011_crop,MH2014_proxy,GTAP_use,Nfix,Suffix,Vish_crop
Millet,79,Millet,OtherGrain,OtherGrainC4,MILL,5,Millet,OtherCoarseGrains,Millet,Crop6,,Millet,Millet,,gro,,C4,Other Coarse Grain
Mushrooms and truffles,449,Mushrooms,Vegetables,Vegetables,VEGE,16,,Other,Others (annual),Crop26,,,Vegetables other,,v_f,,,Other Crops
Mustard seed,292,MustardSeed,OilCrop,OilCrop,OILC,20,Mustard,OtherOilSeeds,Others (annual),Crop26,Mustardseed,,Rapeseed,,osd,,,Other Oil Seeds
Natural rubber,836,NatRubber,,,,,,,Others (perennial) ,Crop24,Naturalrubber,,,,,,,Other Crops
"Nutmeg, mace and cardamoms",702,Ntmg_Mc_Crdm,MiscCrop,MiscCropTree,,,,Other,Others (perennial) ,Crop24,Nutmeg_maceandcardamoms,,Spices other,,ocr,,Tree,Other Crops
"Nuts, nes",234,Nutsnes,NutsSeeds,NutsSeedsTree,,,,Other,Others (annual),Crop26,Nuts_nes,,Nuts,,v_f,,Tree,Other Crops
Oats,75,Oats,OtherGrain,OtherGrain,OTHC,7,Oat,OtherCoarseGrains,Others (annual),Crop26,Oats,,Oats,,gro,,,Other Coarse Grain
"Oil, palm fruit",254,OilPalmFruit,OilPalm,OilPalmTree,PALM,22,Oil Palm,OilPalm,Oil palm,Crop14,,Oilpalm,Oilpalm,,osd,,Tree,Oil Palm
Oilseeds nes,339,Oilseedsnes,OilCrop,OilCrop,OILC,20,Oilseeds,OtherOilSeeds,Others (annual),Crop26,Oilseeds_Nes,,Oilcrops other,,osd,,,Other Oil Seeds
Okra,430,Okra,Vegetables,Vegetables,VEGE,16,,FruitsAndVeg,Others (annual),Crop26,Okra,,Vegetables other,,v_f,,,Fruits and Vegetable
Olives,260,Olives,OilCrop,OilCropTree,OILC,20,Olive,OtherOilSeeds,Others (perennial) ,Crop24,Olives,Olives,Olives,,osd,,Tree,Other Oil Seeds
"Onions, dry",403,OnionDry,Vegetables,Vegetables,VEGE,16,Onion,FruitsAndVeg,Others (annual),Crop26,Onions_dry,,Onions,,v_f,,,Fruits and Vegetable
"Onions, shallots, green",402,OnionShlltGn,Vegetables,Vegetables,VEGE,16,Onion,FruitsAndVeg,Others (annual),Crop26,Onions.inc.shallots._green,,Onions,,v_f,,,Fruits and Vegetable
Oranges,490,Oranges,Fruits,FruitsTree,CITR,18,Orange,FruitsAndVeg,Citrus,Crop18,,,"Oranges, Mandarines",,v_f,,Tree,Fruits and Vegetable
