# File: GCAMFAOSTAT_PFertilizer.csv
# Title: FAO phosphate fertilizer production and consumption by country_year
# Units: tonnes P2O5
# Description:  Queried data are preprocessed for consistency with outputs of gcamfaostat
# Data source: FAOSTAT
# Date of CSV last update: 2026-07-23
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
38,Sri Lanka,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,20700,21100,17500,22700,15300,10800,14500,22400,24662,34414,27664,27600,31233,34913,37503,37800,39600,40000,39100,40652,29156,30891,30366,38352,34886,34370,35000,30119,29083,33665,30392,31376,35165,37458,34238,36890,50912,49293,69049,52519,50679,62423,62629,43877,62568,39382,28798,19460,40973,39791,51155,13773,13773
38,Sri Lanka,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,2688,4364,4776,4366,4875,4413,4560,6173,8070,6500,6848,9117,5513,7201,8400,7522,8992,9500,8298,10247,8472,9824,10015,10545,10524,10734,11042,11897,10172,8861,10421,10000,10000,10000,16373.12,17261.24,16448.07,10352.99,13844.93,14452.14,14452.14,14452.14,14452.14,14452.14
39,Chad,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,775,761,747,1440,3200,1800,1944,1920,1400,0,300,1400,1400,1500,2000,1500,800,1300,1045,1116,1900,2600,2592,1562,2000,2000,2400,2400,1725,2000,2000,2000,1940,2490,3179,1886,2515,1926,2241,1977,3430,3988,3607,3827,3613,3456,4270,5018,4377,5285,4858,4591,6619
39,Chad,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Chile,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,77024,67945,56932,97312,90640,45801,55224,55523,64608,70908,68808,54605,47268,60924,79957,85959,108768,111700,118600,125900,113750,111600,130000,140000,136000,140000,145000,160000,173000,164700,172000,179000,127869,152291,171410,156116,141228,165709,125544,94887,123536,118267,113398,124428,148802,158216,127315,133186,139841,114002,137250,142164,80892
40,Chile,3103,Nutrient phosphate P2O5 (total),5510,Production,t,22858,14217,31151,30020,26054,21362,7104,5901,0,0,0,0,0,1600,3700,3700,5438,4054,4000,4000,5000,4000,4000,5000,5000,5000,4000,0,0,0,0,0,0,0,30,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"China, mainland",3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,949000,1124000,1316200,1757800,1474700,1605600,1491000,1872700,1347200,2049000,2744400,2931300,3478500,4054100,4075200,3003800,3025700,4489016,5162200,5272100,5852800,7284300,6921000,5544700,7329000,8911700,8118000,9277000,9457000,8907000,8609700,8886577,10236165,9651720,10729982,11493873,11910882,10295625,10727334,12800676,14259456,13675669,13808729,13762193,13340410,12642324,12445889,11960050,11070233,10533721,10239914,10094566,9579684
41,"China, mainland",3103,Nutrient phosphate P2O5 (total),5510,Production,t,950000,1125000,1303000,1634000,1451000,1596000,1485000,1781000,1108400,1869900,2367000,2593600,2888100,3023200,2730900,2115200,2410800,3340600,3766200,3807700,4196000,4641400,4700000,4240300,4946000,6091300,5822000,6419000,6713000,6430000,6687000,7451462,8056000,8806000,10200000,11121000,11998000,12572300,12140900,14160900,17015000,17662600,16558600,16328700,17430100,18572000,18591100,15010500,13237600,15646839.23,14886826.8,15876680.34,12875117.33
44,Colombia,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,49058,65394,57251,75900,74500,65262,68800,76300,79465,81700,81100,70000,85200,82800,90000,85400,98600,112100,112700,121800,126700,120900,98300,112600,95600,108000,113000,123100,127000,116700,131800,132588,141972,138056,190099,171880,202104,192109,155684,144780,198056,198556,229924,197566,226714,231522,226648,244534,222604,224074,245228,235466,192189
44,Colombia,3103,Nutrient phosphate P2O5 (total),5510,Production,t,26741,27871,39700,73322,69489,35700,32619,50000,50300,45500,45700,49500,30500,36339,80300,79300,82400,91400,92300,99400,99000,94900,74900,12300,10500,9300,10000,9200,9300,9300,7800,13882,6500,6500,54000,35000,45000,45000,50000,55000,55000,45000,85000,53500,67100,64000,65100,66100,70900,60000,59100,59100,59100
