Scenario,State,State_FIPS,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
SSP3,New Hampshire,33000,1356737,1412310,1419363,1395594,1347223,1289802,1227034,1153673,1070847,983678
SSP3,New Jersey,34000,9231646,9879673,10267344,10452537,10443630,10306097,10059450,9664421,9133330,8516290
SSP3,New Mexico,35000,1999838,2099711,2135516,2122698,2074594,2005252,1925750,1826123,1705986,1577629
SSP3,New York,36000,20683140,22049228,22801506,23092992,22956165,22554484,21934367,21009579,19805638,18429808
SSP3,North Carolina,37000,8819719,9234067,9340393,9244251,8980379,8645858,8265429,7803904,7269067,6697238
SSP3,North Dakota,38000,690203,716281,718299,702197,676086,645297,612528,574214,531994,487601
SSP3,Ohio,39000,12496788,13242781,13590169,13652954,13461941,13132103,12695522,12100460,11360855,10536395
SSP3,Oklahoma,40000,3799278,3977818,4024526,3983508,3870734,3727217,3563690,3365551,3135223,2888768
SSP3,Oregon,41000,3759296,3977306,4076282,4089142,4028521,3925597,3792933,3613088,3388835,3141447
SSP3,Pennsylvania,42000,13555320,14331371,14664938,14688479,14439624,14049043,13551877,12892901,12086217,11194760
SSP3,Rhode Island,44000,1133645,1212240,1257072,1276200,1271085,1250820,1218035,1167970,1102055,1026284
SSP3,South Carolina,45000,4394441,4607169,4668814,4630002,4507493,4348034,4163491,3936629,3671204,3385748
SSP3,South Dakota,46000,820958,846967,843653,818410,781958,739333,696554,650165,599149,546088
SSP3,Tennessee,47000,6254554,6562210,6657207,6609958,6443194,6222314,5964231,5643915,5267121,4860510
SSP3,Texas,48000,22869011,24333399,25084538,25306964,25054827,24531093,23795180,22752937,21428853,19937595
SSP3,Utah,49000,2454063,2604905,2684465,2708840,2683469,2629505,2551057,2440252,2296439,2134615
SSP3,Vermont,50000,664943,677840,664388,636126,597630,557918,518965,478401,436474,395080
SSP3,Virginia,51000,7777336,8210103,8386849,8385762,8229642,7995034,7702266,7319937,6855789,6345429
SSP3,Washington,53000,6439133,6837994,7044443,7107715,7041806,6898772,6693163,6398738,6022372,5596628
SSP3,West Virginia,54000,1981822,2040048,2023031,1961374,1866506,1763517,1658369,1543600,1420392,1295127
SSP3,Wisconsin,55000,5861350,6131116,6209132,6159699,6004362,5799388,5559610,5261724,4910850,4532059
SSP3,Wyoming,56000,532948,555085,562077,553569,537659,514606,491443,463828,429458,395538
SSP4,Alabama,1000,4879629,5174555,5407869,5559292,5622897,5646403,5623806,5518708,5334332,5096184
SSP4,Alaska,2000,584692,618030,645513,665215,677461,672685,674319,666844,647978,623348
SSP4,Arizona,4000,5635572,6094926,6500282,6821847,7044259,7205985,7301140,7277832,7131413,6889847
SSP4,Arkansas,5000,2927235,3086934,3207953,3279252,3298991,3296128,3268141,3193699,3075956,2929592
SSP4,California,6000,37368484,40613179,43546211,45948249,47689962,49029556,49891639,49946886,49110985,47589172
SSP4,Colorado,8000,4744010,5114164,5438378,5693871,5867251,5992591,6062462,6038260,5911089,5707980
SSP4,Connecticut,9000,3734991,4038698,4307920,4522144,4670124,4780196,4845133,4833246,4738188,4580263
SSP4,Delaware,10000,849346,915669,973619,1018625,1048393,1069755,1081150,1075433,1051658,1014541
SSP4,District of Columbia,11000,622124,680518,734172,779151,812907,839596,857713,861525,849427,824969
SSP4,Florida,12000,17310088,18700032,19940062,20936472,21637308,22165960,22489110,22464377,22050187,21337212
SSP4,Georgia,13000,9046009,9678484,10209876,10596692,10820851,10962160,11007080,10882998,10587920,10170513
SSP4,Hawaii,15000,1288839,1380118,1459771,1521688,1562882,1592616,1608791,1601583,1567832,1513712
SSP4,Idaho,16000,1416874,1509543,1585891,1639188,1668708,1684698,1686426,1662254,1613861,1548122
SSP4,Illinois,17000,13702719,14800864,15774378,16548848,17083621,17481045,17715451,17671840,17324697,16747583
SSP4,Indiana,18000,6708610,7185668,7588805,7885306,8061239,8174865,8216236,8131049,7916978,7610070
SSP4,Iowa,19000,3207033,3402214,3557637,3659087,3703016,3720551,3707679,3640394,3520510,3364937
SSP4,Kansas,20000,2946936,3149004,3316838,3436652,3503989,3542764,3551894,3505470,3405916,3267766
SSP4,Kentucky,21000,4433167,4694910,4899929,5029770,5080021,5094299,5067557,4966943,4796038,4578088
SSP4,Louisiana,22000,4897908,5226206,5501199,5700421,5814910,5886755,5908777,5843551,5686934,5464394
SSP4,Maine,23000,1370890,1438636,1487533,1512592,1514062,1505446,1485956,1446051,1387536,1317306
SSP4,Maryland,24000,5818347,6302760,6734473,7080516,7322429,7504057,7613637,7600823,7455864,7210980
