Region,Technology,Fuel,2005Vintage,PHEV,Emission,2005,2010
R6,TMDSLC10,DSL,no,no,BC,0,0.146
R6,TMDSLE,DSL,yes,no,BC,0.637,0.308
R6,TMGSLC,GSL,no,no,BC,0,0
R6,TMGSLC10,GSL,no,no,BC,0,0.002
R6,TMGSLE,GSL,yes,no,BC,0.008,0.004
R6,TMLPGC,Other,no,no,BC,0,0
R6,TMLPGC10,Other,no,no,BC,0,0
R6,TMLPGE,Other,yes,no,BC,0,0
R7,TBCNGC,CNG,no,no,BC,0,0
R7,TBCNGE,CNG,yes,no,BC,0.001,0
R7,TBDSLC,DSL,no,no,BC,0,0
R7,TBDSLC10,DSL,no,no,BC,0,0.046
R7,TBDSLE,DSL,yes,no,BC,0.281,0.135
R7,TBGSLE,GSL,yes,no,BC,0,0
R7,TCDSLC,DSL,no,no,BC,0,0
R7,TCDSLE,DSL,yes,no,BC,0.731,0.366
R7,TCE85C,E85,no,no,BC,0,0
R7,TCGSLC,GSL,no,no,BC,0,0
R7,TCGSLC10,GSL,no,no,BC,0,0.004
R7,TCGSLE,GSL,yes,no,BC,0.02,0.01
R7,THLB20C,B20,no,no,BC,0,0
R7,THLDSLC,DSL,no,no,BC,0,0
R7,THLDSLC10,DSL,no,no,BC,0,0.542
R7,THLDSLE,DSL,yes,no,BC,3.617,1.8
R7,THSCNGE,CNG,yes,no,BC,0,0
R7,THSDSLC,DSL,no,no,BC,0,0
R7,THSDSLC10,DSL,no,no,BC,0,0.374
R7,THSDSLE,DSL,yes,no,BC,3.568,1.66
R7,THSGSLE,GSL,yes,no,BC,0.001,0
R7,THSLPGE,Other,yes,no,BC,0,0
R7,TLCCNG10,CNG,no,no,BC,0,0
R7,TLCCONV10,GSL,no,no,BC,0,0.039
R7,TLCDSL10,DSL,no,no,BC,0,0
R7,TLCHEV10,Other,no,no,BC,0,0.005
R7,TLECGSL,GSL,yes,no,BC,0.502,0.218
R7,TLECNGX,CNG,yes,no,BC,0.002,0.001
R7,TLEELC,Other,yes,no,BC,0,0
R7,TLEETHX,ETH,yes,no,BC,0.001,0
R7,TLEFDSL,DSL,yes,no,BC,0.003,0.002
R7,TLEFGSL,GSL,yes,no,BC,0.402,0.174
R7,TLELPGX,Other,yes,no,BC,0.013,0.005
R7,TLELSGSL,GSL,yes,no,BC,0.091,0.043
R7,TLEMCGSL,GSL,yes,no,BC,0.03,0.013
R7,TLEMGSL,GSL,yes,no,BC,0.114,0.054
R7,TLEPDSL,DSL,yes,no,BC,0.172,0.094
R7,TLEPGSL,GSL,yes,no,BC,0.374,0.178
R7,TLESSGSL,GSL,yes,no,BC,0.107,0.051
R7,TLFCONV10,GSL,no,no,BC,0,0.064
R7,TLFDSL10,DSL,no,no,BC,0,0.001
R7,TLLSCONV10,GSL,no,no,BC,0,0.044
R7,TLMCCONV10,GSL,no,no,BC,0,0.004
R7,TLMCNG10,CNG,no,no,BC,0,0
R7,TLMCONV10,GSL,no,no,BC,0,0.017
R7,TLMP20G10,Other,no,20-mi,BC,0,0
R7,TLPCNG10,CNG,no,no,BC,0,0
R7,TLPCONV10,GSL,no,no,BC,0,0.03
R7,TLPDSL10,DSL,no,no,BC,0,0.319
R7,TLSSCONV10,GSL,no,no,BC,0,0.05
R7,TLSSDSL10,DSL,no,no,BC,0,0
R7,TLSSHEV10,Other,no,no,BC,0,0.003
R7,TMB20C,B20,no,no,BC,0,0
R7,TMCNGC,CNG,no,no,BC,0,0
R7,TMCNGC10,CNG,no,no,BC,0,0
R7,TMCNGE,CNG,yes,no,BC,0,0
R7,TMDSLC,DSL,no,no,BC,0,0
R7,TMDSLC10,DSL,no,no,BC,0,0.175
R7,TMDSLE,DSL,yes,no,BC,0.783,0.378
R7,TMGSLC,GSL,no,no,BC,0,0
R7,TMGSLC10,GSL,no,no,BC,0,0.003
R7,TMGSLE,GSL,yes,no,BC,0.01,0.005
R7,TMLPGC,Other,no,no,BC,0,0
R7,TMLPGC10,Other,no,no,BC,0,0
R7,TMLPGE,Other,yes,no,BC,0,0
R8,TBCNGC,CNG,no,no,BC,0,0
R8,TBCNGE,CNG,yes,no,BC,0,0
