Region,Demand,Description,Units,MARKAL Tech,Class,Electrification,Fuel,Vintage,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055
5,TL,Light duty vehicles,bn-vmt,TLCCNG10,Compact car,,CNG,2010,0,0.09,0.09,0.09,0.09,0,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLCCONV10,Compact car,,GSL,2010,0,34.68,77.17,125.18,160.47,188.61,213.22,229.02,243.72,260.2,275.74
5,TL,Light duty vehicles,bn-vmt,TLCDSL10,Compact car,,DSL,2010,0,0,1.15,2.26,3.06,4.46,4.78,5.03,5.29,5.54,5.8
5,TL,Light duty vehicles,bn-vmt,TLECGSL,Compact car,,GSL,Existing,185.43,129.8,76.03,29.67,0,0,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLECNGX,Miscl,,CNG,Existing,0.7,0.49,0.29,0.11,0,0,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLEELC,Miscl,Electric,ELC,Existing,0.12,0.08,0.05,0.02,0.01,0,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLEETHX,Miscl,,E85,Existing,2.02,1.41,0.83,0.32,0,0,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLEFDSL,Full size car,,DSL,Existing,2.47,1.73,1.01,0.4,0,0,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLEFGSL,Full size car,,GSL,Existing,148.19,103.73,60.76,23.71,0,0,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLELPGX,Miscl,,LPG,Existing,2.35,1.65,0.97,0.38,0,0,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLELSGSL,Large SUV,,GSL,Existing,30.53,21.39,12.53,4.89,0,0,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLEMCGSL,Mini car,,GSL,Existing,10.99,7.7,4.51,1.76,0,0,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLEMGSL,Minivan,,GSL,Existing,52.3,36.61,21.44,8.37,0,0,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLEPDSL,Pickup,,DSL,Existing,1.52,1.07,0.62,0.24,0,0,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLEPGSL,Pickup,,GSL,Existing,91.22,63.85,37.4,14.6,0,0,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLESSGSL,Small SUV,,GSL,Existing,35.87,25.11,14.71,5.74,0,0,0,0,0,0,0
