INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
StubTechRESSecondaryOutput,,,,,,,,
,,,,,,,,
region,supplysector,subsector,stub.technology,year,res.secondary.output,output.ratio,pMult,new.vintage.only
MI,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
MI,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
MI,electricity,wind,wind,1975,ELEC_RPS,1,1,1
MI,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
MI,electricity,solar,PV,1975,ELEC_RPS,1,1,1
MI,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
MI,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
MI,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
MI,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
MN,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
MN,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
MN,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
MN,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
MN,electricity,wind,wind,1975,ELEC_RPS,1,1,1
MN,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
MN,electricity,solar,PV,1975,ELEC_RPS,1,1,1
MN,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
MN,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
MN,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
MN,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
MO,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
MO,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
MO,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
MO,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
MO,electricity,wind,wind,1975,ELEC_RPS,1,1,1
MO,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
MO,electricity,solar,PV,1975,ELEC_RPS,1,1,1
MO,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
MO,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
MO,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
MO,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
MS,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
MS,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
