# File: Springmann_FLX_diet.csv
# Title: 2050 Flexitarian (FLX) versus benchmark (BMK) diet
# Units: kcal per person per day
# Source: https://doi.org/10.1016/S2542-5196(18)30206-7
# Column types: ccnn
# ----------
food_group,iso,BMK,FLX
othr_grains,AFG,34.75473909,22.82224516
othr_grains,AGO,95.6289142,54.87236485
othr_grains,ALB,3.338011667,3.238776343
othr_grains,ARG,5.324455162,5.360657669
othr_grains,ARM,19.44706317,16.70597617
othr_grains,AUS,12.43042478,19.37339486
othr_grains,AUT,66.17257157,59.29784766
othr_grains,AZE,5.698789868,3.419772111
othr_grains,BDI,28.74137755,16.17873417
othr_grains,BEN,235.5494302,96.13516855
othr_grains,BFA,999.541676,463.9829822
othr_grains,BGD,1.114875101,0.433944939
othr_grains,BGR,10.30090425,10.74082639
othr_grains,BLR,155.9252486,182.1856704
othr_grains,BLT,111.1509403,126.6797964
othr_grains,BLX,5.394969871,6.786635188
othr_grains,BLZ,28.79566483,26.26583576
othr_grains,BOL,17.53284261,14.96047278
othr_grains,BRA,14.81507052,12.81713072
othr_grains,BTN,109.7021108,69.75339093
othr_grains,BWA,191.8211738,162.6224834
othr_grains,CAF,248.2408157,147.7115387
othr_grains,CAN,7.563680307,7.741819206
othr_grains,CHL,11.6430362,10.12253204
othr_grains,CHM,9.939731953,4.192351664
othr_grains,CHP,22.34317433,29.26099672
othr_grains,CIV,36.83908545,18.44333918
othr_grains,CMR,231.6642824,136.5094109
othr_grains,COD,209.2395919,184.5479362
othr_grains,COG,1.337268045,0.731713604
othr_grains,COL,10.07956169,9.115581845
othr_grains,CRB,17.54065971,16.19168105
othr_grains,CRI,20.74821851,19.50602759
othr_grains,CUB,0.593182553,0.397363164
othr_grains,CYP,2.005744865,4.895624719
othr_grains,CZE,60.88960944,62.31468048
othr_grains,DEU,67.76226973,77.9870065
othr_grains,DJI,23.81716571,19.84164124
othr_grains,DNK,76.35223559,95.30729246
othr_grains,DOM,3.72666715,5.197500267
