# File: A_FLX_FuelPrefElast.csv
# Title: Fuel preference elasticities used in the FLX scenario
# Description: Fuel pref elasticities are adjusted to hit target shares of caloric consumption in 2050
# Source: none
# Units: unitless
# Column types: cccn
# ----------
region,supplysector,subsector,fuelprefElasticity
Japan,FoodDemand_Meat,Pork,0.144651642
Japan,FoodDemand_Meat,Poultry,0.379744465
Japan,FoodDemand_Meat,SheepGoat,0.522486619
Mexico,FoodDemand_Crops,Corn,0.153703843
Mexico,FoodDemand_Crops,FiberCrop,0
Mexico,FoodDemand_Crops,Fruits,0.351746781
Mexico,FoodDemand_Crops,Legumes,0.858265985
Mexico,FoodDemand_Crops,MiscCrop,0
Mexico,FoodDemand_Crops,NutsSeeds,2.118360735
Mexico,FoodDemand_Crops,OilCrop,2.298322759
Mexico,FoodDemand_Crops,OtherGrain,0.304991656
Mexico,FoodDemand_Crops,PalmFruit,0.280999841
Mexico,FoodDemand_Crops,Rice,0.258786597
Mexico,FoodDemand_Crops,RootTuber,0.270837565
Mexico,FoodDemand_Crops,Soybean,0.245036595
Mexico,FoodDemand_Crops,SugarCrop,0.084548913
Mexico,FoodDemand_Crops,Vegetables,1.274622528
Mexico,FoodDemand_Crops,Wheat,0.16196574
Mexico,FoodDemand_Meat,Beef,0.376811187
Mexico,FoodDemand_Meat,Dairy,1.793275948
Mexico,FoodDemand_Meat,OtherMeat_Fish,0.849296498
Mexico,FoodDemand_Meat,Pork,0.330284044
Mexico,FoodDemand_Meat,Poultry,0.438531243
Mexico,FoodDemand_Meat,SheepGoat,0.362939232
Middle East,FoodDemand_Crops,Corn,0.066148704
Middle East,FoodDemand_Crops,FiberCrop,0
Middle East,FoodDemand_Crops,Fruits,0.244901663
Middle East,FoodDemand_Crops,Legumes,1.194861419
Middle East,FoodDemand_Crops,MiscCrop,0
Middle East,FoodDemand_Crops,NutsSeeds,1.18011111
Middle East,FoodDemand_Crops,OilCrop,1.432652837
Middle East,FoodDemand_Crops,OtherGrain,0.147206904
Middle East,FoodDemand_Crops,PalmFruit,0.072382854
Middle East,FoodDemand_Crops,Rice,0.116444635
Middle East,FoodDemand_Crops,RootTuber,0.19890611
Middle East,FoodDemand_Crops,Soybean,0.20452236
Middle East,FoodDemand_Crops,SugarCrop,0.090068986
Middle East,FoodDemand_Crops,Vegetables,0.329953902
Middle East,FoodDemand_Crops,Wheat,0.109299716
Middle East,FoodDemand_Meat,Beef,0.961713308
Middle East,FoodDemand_Meat,Dairy,1.500658611
Middle East,FoodDemand_Meat,OtherMeat_Fish,1.746582923
Middle East,FoodDemand_Meat,Pork,0.500795205
Middle East,FoodDemand_Meat,Poultry,0.304723858
Middle East,FoodDemand_Meat,SheepGoat,0.841086714
Pakistan,FoodDemand_Crops,Corn,0.174945691
Pakistan,FoodDemand_Crops,FiberCrop,0
Pakistan,FoodDemand_Crops,Fruits,0.905138812
