# File: Scout_bld_calibration.csv
# Title: Buildings sector calibration from Scout model
# Units: unitless shares
# Comments: Scout output data processed to compute shares of service/technology within state/sector/fuel
# Source:  LBNL team (Aven Satre-Meloy) provided for DECARB project
# Column types: cccccinn
# ----------
state,sector,fuel,service,technology,year,share,energy
Delaware,comm,electricity,hot water,electric resistance water heater,2015,0.0044544,6.75e-5
Delaware,comm,electricity,lighting,lighting,2015,0.1302127,0.0019735
Delaware,comm,electricity,office,office equipment,2015,0.1379385,0.0020906
Delaware,comm,electricity,other,electricity,2015,0.3461042,0.0052457
Delaware,comm,electricity,refrigeration,refrigeration,2015,0.128986,0.001955
Delaware,comm,electricity,ventilation,ventilation,2015,0.1216751,0.0018441
Delaware,comm,gas,cooking,gas range,2015,0.0918274,0.0012844
Delaware,comm,gas,cooling,gas cooling,2015,0.0145145,2.03e-4
Delaware,comm,gas,heating,gas furnace,2015,0.5779083,0.0080832
Delaware,comm,gas,hot water,gas water heater,2015,0.2094414,0.0029294
Delaware,comm,gas,other,gas,2015,0.1063084,0.0014869
Delaware,comm,refined liquids,heating,fuel furnace,2015,0.958295,0.0019479
Delaware,comm,refined liquids,hot water,fuel water heater,2015,0.041705,8.48e-5
Delaware,comm,refined liquids,other,refined liquids,2015,0,0
Delaware,resid,biomass,heating,wood furnace,2015,1,0.0020323
Delaware,resid,electricity,clothes dryers,clothes dryer,2015,0.0386461,5.068e-4
Delaware,resid,electricity,clothes washers,clothes washer,2015,0.0077538,1.017e-4
Delaware,resid,electricity,computers,electricity,2015,0.0313376,4.109e-4
Delaware,resid,electricity,cooking,electric oven,2015,0.0098155,1.287e-4
Delaware,resid,electricity,cooling,air conditioning,2015,0.1180514,0.0015481
Delaware,resid,electricity,dishwashers,dishwasher,2015,0.0054485,7.14e-5
Delaware,resid,electricity,freezers,freezer,2015,0.0157523,2.066e-4
Delaware,resid,electricity,furnace fans,electricity,2015,0.0236858,3.106e-4
Delaware,resid,electricity,heating,electric furnace,2015,0.1156959,0.0015172
Delaware,resid,electricity,heating,electric heat pump,2015,0.0401672,5.267e-4
Delaware,resid,electricity,hot water,electric resistance water heater,2015,0.1233494,0.0016175
Delaware,resid,electricity,lighting,lighting,2015,0.1006427,0.0013198
Delaware,resid,electricity,other,electricity,2015,0.3027811,0.0039705
Delaware,resid,electricity,refrigerators,refrigerator,2015,0.0668728,8.769e-4
Delaware,resid,gas,clothes dryers,clothes dryer,2015,0.006796,1.388e-4
Delaware,resid,gas,cooking,gas oven,2015,0.0256413,5.236e-4
Delaware,resid,gas,cooling,air conditioning,2015,0.0097796,1.997e-4
Delaware,resid,gas,heating,gas furnace,2015,0.7373481,0.0150562
Delaware,resid,gas,hot water,gas water heater,2015,0.182837,0.0037334
Delaware,resid,gas,other,gas,2015,0.037598,7.677e-4
