"sourceTypeModelYearID";"sourceTypeID";"modelYearID";"fuelTypeID";"engTechID";"regClassID";"stmyFuelEngFraction";"stmyFraction"
411966;41;1966;2;1;47;0.6709677419354839;0.6709677419354839
411966;41;1966;2;1;41;0.1870967741935484;0.1870967741935484
411966;41;1966;2;1;42;0.01935483870967742;0.01935483870967742
411966;41;1966;2;1;46;0.12258064516129032;0.12258064516129032
421966;42;1966;1;1;47;1.0;0.009615384615384616
532043;53;2043;1;1;41;0.33199877854628496;0.0
532042;53;2042;1;1;41;0.33199877854628496;0.0
421966;42;1966;2;1;48;1.0;0.9903846153846154
421966;42;1966;3;1;48;1.0;0.0
431966;43;1966;1;1;42;0.006418485237483954;0.006038647342995169
431966;43;1966;1;1;46;0.938382541720154;0.8828502415458938
431966;43;1966;1;1;41;0.010269576379974325;0.00966183574879227
431966;43;1966;1;1;47;0.044929396662387676;0.042270531400966184
532041;53;2041;1;1;41;0.33199877854628496;0.0
431966;43;1966;2;1;46;0.9387755102040817;0.05555555555555555
431966;43;1966;2;1;47;0.04081632653061224;0.0024154589371980675
431966;43;1966;2;1;41;0.02040816326530612;0.0012077294685990338
541966;54;1966;1;1;46;0.297029702970297;0.25210084033613445
541966;54;1966;1;1;42;0.39603960396039606;0.33613445378151263
541966;54;1966;1;1;47;0.039603960396039604;0.03361344537815126
541966;54;1966;1;1;41;0.26732673267326734;0.226890756302521
541966;54;1966;2;1;47;0.05555555555555555;0.008403361344537815
541966;54;1966;2;1;41;0.2777777777777778;0.04201680672268908
541966;54;1966;2;1;46;0.2777777777777778;0.04201680672268908
541966;54;1966;2;1;42;0.3888888888888889;0.058823529411764705
111967;11;1967;1;1;10;1.0;1.0
411967;41;1967;2;1;47;0.6709677419354839;0.6709677419354839
411967;41;1967;2;1;41;0.1870967741935484;0.1870967741935484
411967;41;1967;2;1;42;0.01935483870967742;0.01935483870967742
411967;41;1967;2;1;46;0.12258064516129032;0.12258064516129032
421967;42;1967;1;1;47;1.0;0.009615384615384616
532040;53;2040;1;1;41;0.33199877854628496;0.0
532039;53;2039;1;1;41;0.33199877854628496;0.0
421967;42;1967;2;1;48;1.0;0.9903846153846154
421967;42;1967;3;1;48;1.0;0.0
431967;43;1967;1;1;42;0.006418485237483954;0.006038647342995169
431967;43;1967;1;1;46;0.938382541720154;0.8828502415458938
431967;43;1967;1;1;41;0.010269576379974325;0.00966183574879227
431967;43;1967;1;1;47;0.044929396662387676;0.042270531400966184
532038;53;2038;1;1;41;0.33199877854628496;0.0
431967;43;1967;2;1;46;0.9387755102040817;0.05555555555555555
