UCD_region,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,variable,unit,2005,2010,2015,2020,2025,2030,2035,2050,2065,2080,2095
Australia_NZ,Passenger,Bus,All,NG,Natural Gas,CAPEX and non-fuel OPEX,2005$/vkt,1.7609,1.7609,1.7609,1.7609,1.7609,1.7609,1.7609,1.7609,1.7609,1.7609,1.7609
Australia_NZ,Passenger,HSR,All,Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,53.6017,53.6017,53.6017,53.6017,53.60216667,53.60263333,53.6031,44.6703,44.6714,44.6725,44.6736
Australia_NZ,Passenger,Rail,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,9.0169,9.016933333,9.016966667,9.017,9.017033333,9.017066667,9.0171,9.0171,9.0172,9.0173,9.0173
Australia_NZ,Passenger,Rail,All,Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,7.138,7.138066667,7.138133334,7.1382,7.138233333,7.138266667,7.1383,7.1385,7.1387,7.1389,7.139
Australia_NZ,Passenger,Rail,All,Tech-Adv-Liquid,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,,,,,,,6.9882,6.9883,6.9883,6.9884,6.9884
Australia_NZ,Passenger,Rail,All,Tech-Adv-Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,,,,,,,5.5322,5.5324,5.5325,5.5326,5.5328
Australia_NZ,Freight,Rail,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,80.1259,80.1263,80.1267,80.1271,80.1275,80.1279,80.1283,80.1295,80.1306,80.1318,80.133
Australia_NZ,Freight,Rail,All,Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,47.6271,47.6279,47.6287,47.6295,47.6303,47.6311,47.6319,47.6342,47.6366,47.639,47.6413
Australia_NZ,Freight,Rail,All,Tech-Adv-Liquid,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,,,,75.7106,75.6586,75.6066,75.5546,75.5563,75.558,75.5597,75.5614
Australia_NZ,Freight,Rail,All,Tech-Adv-Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,,,,42.7693,42.6743,42.5793,42.4843,42.4875,42.4907,42.4939,42.4971
Australia_NZ,Freight,Ship Domestic,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,0.9137,0.9137,0.9137,0.9137,0.9137,0.9137,0.9137,0.9137,0.9137,0.9137,0.9137
